Wavelength (nm),Irradiance (W/m^2 nm),Normalized,,wavelength,1.5 AM irrandiance,Normalized 1.5AM
,,,,1745,0.15105,1.05E-01
,,,,1750,0.16162,1.13E-01
,,,,1755,0.14931,1.04E-01
,,,,1760,0.15608,1.09E-01
,,,,1765,0.12967,9.04E-02
,,,,1770,0.13831,9.64E-02
,,,,1775,0.11213,7.82E-02
,,,,1780,0.098143,6.84E-02
,,,,1785,0.075201,5.24E-02
,,,,1790,0.086831,6.05E-02
,,,,1795,0.045864,3.20E-02
,,,,1800,0.031112,2.17E-02
,,,,1805,0.014485,1.01E-02
,,,,1810,0.0094762,6.60E-03
,,,,1815,0.0032093,2.24E-03
,,,,1820,9.66E-04,6.73E-04
,,,,1825,0.0012463,8.69E-04
,,,,1830,5.09E-06,3.55E-06
,,,,1835,6.28E-06,4.38E-06
,,,,1840,6.13E-08,4.27E-08
,,,,1845,6.13E-06,4.27E-06
,,,,1850,2.93E-06,2.05E-06
,,,,1855,2.78E-07,1.94E-07
,,,,1860,1.09E-05,7.61E-06
,,,,1865,1.66E-05,1.16E-05
,,,,1870,2.61E-10,1.82E-10
,,,,1875,4.43E-10,3.09E-10
,,,,1880,7.61E-05,5.31E-05
,,,,1885,4.31E-05,3.01E-05
,,,,1890,2.20E-04,1.53E-04
,,,,1895,1.27E-04,8.88E-05
,,,,1900,8.49E-07,5.92E-07
,,,,1905,5.58E-07,3.89E-07
,,,,1910,2.27E-05,1.58E-05
,,,,1915,1.97E-05,1.37E-05
,,,,1920,4.45E-04,3.10E-04
,,,,1925,9.23E-04,6.43E-04
,,,,1930,5.45E-04,3.80E-04
,,,,1935,0.0035428,2.47E-03
,,,,1940,0.0032357,2.26E-03
,,,,1945,0.010707,7.46E-03
,,,,1950,0.016482,1.15E-02
,,,,1955,0.009886,6.89E-03
,,,,1960,0.021569,1.50E-02
,,,,1965,0.028114,1.96E-02
,,,,1970,0.048055,3.35E-02
,,,,1975,0.06673,4.65E-02
,,,,1980,0.074234,5.17E-02
